"pid"	"Title"	"Alternative_Title"	"Creator"	"Contributors"	"Description"	"Source"	"Date_Created"	"Type"	"Format"	"Subject"	"personalNames"	"corporateNames"	"geographicTerms"	"Genre"	"Century"	"Spatial"
"draft:15674"	"Crucifix."	""	""	""	"This work documents the convergence of two distinctive worldviews. When Christian icons were first introduced to central Africa by the Portuguese in the late 1400s, elements of their design resonated profoundly with local spiritual precepts. Then, in the early sixteenth century, the king of Kongo was baptized, adopted Catholicism as the state religion, entered into exchanges with the king of Portugal and the pope, and emphasized those alliances through courtly patronage of Christian artifacts. The Kongo designer of this prestige piece significantly transformed the Western prototype that served as its model. At the center of a flat cruciform, a Christ figure with African features and broad, flattened feet and hands was cast in relief, arms extended. The abstract modeling of four smaller figures whose hands are clasped in prayer contrasts with the more expressionistic treatment of Christ. His torso is given definition by the incised ribs, raised nipples and navel, and wrapper around his pelvis. While the suppliants depicted at the apex and base kneel, the two others sit comfortably on the top edge of either arm of the cross.|Accession Number: 14.8493-14.20"	"Stokstad 14.20"	"1620"	"Image"	"image/tiff"	"Sculpture, African."	""	""	""	"Kongo (culture or style)"	""	""
"draft:15673"	"Sapi-Portuguese Style Hunting Horn."	""	""	""	"Location created: Kongo.|Date created: early 17th century CE.|Current location: Metropolitan Museum of Art, New York.|Medium: Bronze.|Measurements: 26.7cm tall.|Accession Number: 14.8493-14.21"	"Stokstad 14.21"	"1470"	"Image"	"image/tiff"	"Sculpture, African.|Ivory."	""	""	""	"Sapi-Portuguese."	""	""
"draft:15672"	"Conical Tower, Great Enclosure."	""	""	""	"Great Zimbabwe is a ruined city in the southeastern hills of Zimbabwe near Lake Mutirikwe and the town of Masvingo. It was the capital of the Kingdom of Zimbabwe during the country's Late Iron Age. Construction on the monument by ancestors of the Shona people began in the 11th century and continued until the 15th century. Great Zimbabwe served as a royal palace for the Zimbabwean monarch and would have been used as the seat of political power. One of its most prominent features were the walls, some of which were over five meters high and which were constructed without mortar. Eventually the city was abandoned and fell into ruin. The height of the tower is 9.1m.|Location created: Great Zimbabwe Shona, Zimbabwe.|Date created: c. 1350-1450 CE.|Accession Number: 15.8493-14.16"	"Stokstad 14.16"	"1450"	"Image"	"image/tiff"	"Architecture, African.|Africa--Antiquities. Zimbabwe--Antiquities.|Great Zimbabwe (Extinct city)"	""	""	""	""	""	""
"draft:15671"	"Great Friday Mosque."	""	""	""	"As one of the wonders of Africa, and one of the most unique religious buildings in the world, the Great Mosque of Djenné, in present-day Mali, is also the greatest achievement of Sudano-Sahelian architecture (Sudano-Sahelian refers to the Sudanian and Sahel grassland of West Africa) It is also the largest mud-built structure in the world. Djenné was founded between 800 and 1250 C.E., and it flourished as a great center of commerce, learning, and Islam, which had been practiced from the beginning of the 13th century. The Great Mosque that we see today is its third reconstruction, in the styles of 13th century original and completed in 1907.|Location created: Jenne, Mali.|Date created: 1907 CE.|Accession Number: 15.8493-14.14"	"Stokstad 14.14"	"1907"	"Image"	"image/tiff"	"Architecture, African."	""	""	""	"Jenne."	""	""
"draft:15670"	"Oba Erediauwa."	""	""	""	"This modern-day senior town chief wears cirak-beaded regalia, which has been a principal symbol of high rank in Benin City since the Benin middle period.|Location created: Benin, Nigeria.|Date created: c. 1981.|Accession Number: 15.8493-14.12"	"Stokstad 14.12"	"1980"	"Image"	"image/tiff"	"Photography, African."	""	""	""	"Beninese."	""	""
"draft:15669"	"Zoomorphic Head."	""	""	""	"Among the earliest known wooden artworks from central Africa is a wood carving unearthed in Angola in 1928. This zoomorphic head may have been created for use as a headdress or mask. Its elongated snout, pointed ears, and geometric surface patterning resemble some masking traditions and sculptural practices that survived in the region well in to the twentieth century.|Location created: Angola.|Date created: c. 750 CE.|Current location: Royal Museum of Central Africa, Tervuren, Belgium.|Medium: Wood.|African; Measurements: 50.5x15.5cm.|Accession Number: 15.8493-14.18"	"Stokstad 14.18"	"750"	"Image"	"image/tiff"	"Sculpture, African.|Sculpture, Kongo."	""	""	""	"Kongo (culture or style)"	""	""
"draft:15668"	"Decorated Textile."	"Luxury Cloth: Cushion Cover"	""	""	"This rectangular cushion cover features the same design of a continuous network of lozenges on both sides, though the pattern does not match up at the edges. This suggests that it was composed of two pieces of cloth rather than by folding a single cloth in half. Once the textile was woven, its pattern was enhanced with black pigment, evident along the perimeter of the primary interlacing design and in the finer details of the pattern with the tufts of nested lozenges. While it is likely this work entered Oxford's collections in the seventeenth century, recent testing of the fibers has yielded results suggesting a possible fifteenth-century date of manufacture.|Date created: before 1400 CE.|Location created: Kongo.|Current location: Pitt Rivers Museum, University of Oxford, England.|Medium: Raffia.|Measurements: 24x47cm.|Accession Number: 15.8493-14.19"	"Stokstad 14.19"	"1400"	"Image"	"image/tiff"	"Textiles, African."	""	""	""	"Kongo (culture or style)"	""	""
"draft:15667"	"Senior Town Chief."	""	""	""	"This modern-day senior town chief carries his eben sword, which has been a principal symbol of high rank in Benin City since the Benin middle period.|Location created: Benin, Nigeria.|Date created: c. 1980.|Accession Number: 15.8493-14.11"	"Stokstad 14.11"	"1980"	"Image"	"image/tiff"	"Photography, African."	""	""	""	"Beninese."	""	""
"draft:15666"	"Drawing of Gret Enclosure, Great Zimbabwe."	"Imba Huru"	""	""	"Great Zimbabwe is a ruined city in the southeastern hills of Zimbabwe near Lake Mutirikwe and the town of Masvingo. It was the capital of the Kingdom of Zimbabwe during the country's Late Iron Age. Construction on the monument by ancestors of the Shona people began in the 11th century and continued until the 15th century. Great Zimbabwe served as a royal palace for the Zimbabwean monarch and would have been used as the seat of political power. One of its most prominent features were the walls, some of which were over five meters high and which were constructed without mortar. Eventually the city was abandoned and fell into ruin. This reconstruction drawing shows the great outer wall with its numerous smaller stone enclosures and adobe platforms.|Location created: Great Zimbabwe Shona, Zimbabwe.|Date created: c. 1350-1450 CE.|Accession Number: 15.8493-14.15"	"Stokstad 14.15"	"1450"	"Image"	"image/tiff"	"Architecture, African.|Africa--Antiquities. Zimbabwe--Antiquities.|Great Zimbabwe (Extinct city)"	""	""	""	""	""	""
"draft:15665"	"Bet Giorgis, Lalibela."	"Church of St. George"	""	""	"The Church was carved from a variation of limestone called tufa, the sole building material used in the structure. It has been dated to the late 12th or early 13th century AD, and thought to be constructed under King Gebre Mesqel Lalibela, of the late Zagwe dynasty. It is among the best known and last built of the eleven churches in the Lalibela area, and has been referred to as the 'Eighth Wonder of the World'. Lalibela, King of Ethiopia, sought to recreate Jerusalem, and structured the churches' landscape and religious sites in such a way as to achieve such a feat. The churches at Lalibela are clustered in two major groups, one representing the earthly Jerusalem, and the other representing the heavenly Jerusalem. Located directly between them is a trench representing the River Jordan. The dimensions of the trench are 25 meters by 25 meters by 30 meters, and there is a small baptismal pool outside the church, which stands in an artificial trench.|Location created: Lalibela, Ethiopia.|Date created: 13th century CE.|Accession Number: 15.8493-14.17"	"Stokstad 14.17"	"1250"	"Image"	"image/tiff"	"Architecture, African.|Cave churches."	""	""	""	"rock-cut churches.|tufa."	""	""
